geoid,name,universe,10_and_under,10_15,15_20,20_25,25_30,30_35,35_40,40_45,45_50,50_60,60_75,75_100,100_125,125_150,150_200,200_and_up,county,county subdivision,state
2200194000,"District 1, Acadia Parish, Louisiana",1358.0,362.0,142.0,223.0,145.0,67.0,59.0,73.0,102.0,21.0,26.0,62.0,76.0,0.0,0.0,0.0,0.0,001,94000,22
2200194933,"District 6, Acadia Parish, Louisiana",352.0,114.0,34.0,0.0,39.0,0.0,0.0,19.0,0.0,0.0,0.0,107.0,0.0,0.0,23.0,16.0,0.0,001,94933,22
2200195092,"District 7, Acadia Parish, Louisiana",411.0,93.0,49.0,85.0,0.0,0.0,109.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,001,95092,22
2200194567,"District 4, Acadia Parish, Louisiana",247.0,29.0,9.0,21.0,0.0,10.0,27.0,0.0,0.0,0.0,0.0,49.0,102.0,0.0,0.0,0.0,0.0,001,94567,22
2210194888,"District 5, St. Mary Parish, Louisiana",1171.0,92.0,91.0,70.0,39.0,120.0,93.0,33.0,91.0,23.0,191.0,64.0,145.0,29.0,63.0,27.0,0.0,101,94888,22
2210194690,"District 4, St. Mary Parish, Louisiana",442.0,40.0,51.0,46.0,60.0,31.0,20.0,86.0,0.0,44.0,11.0,16.0,0.0,37.0,0.0,0.0,0.0,101,94690,22
2210195332,"District 8, St. Mary Parish, Louisiana",673.0,83.0,40.0,74.0,74.0,98.0,14.0,49.0,0.0,49.0,64.0,11.0,41.0,51.0,25.0,0.0,0.0,101,95332,22
2210194126,"District 1, St. Mary Parish, Louisiana",1204.0,117.0,114.0,106.0,146.0,222.0,87.0,88.0,42.0,0.0,81.0,103.0,81.0,8.0,9.0,0.0,0.0,101,94126,22
2210194513,"District 3, St. Mary Parish, Louisiana",827.0,100.0,103.0,77.0,40.0,51.0,60.0,55.0,8.0,60.0,88.0,68.0,53.0,33.0,9.0,16.0,6.0,101,94513,22
2210195053,"District 6, St. Mary Parish, Louisiana",203.0,44.0,11.0,8.0,0.0,21.0,0.0,41.0,8.0,0.0,39.0,0.0,0.0,20.0,0.0,0.0,11.0,101,95053,22
2210195203,"District 7, St. Mary Parish, Louisiana",390.0,82.0,6.0,116.0,28.0,25.0,33.0,30.0,7.0,14.0,0.0,40.0,0.0,0.0,0.0,0.0,9.0,101,95203,22
2210194330,"District 2, St. Mary Parish, Louisiana",773.0,120.0,48.0,61.0,76.0,74.0,40.0,79.0,13.0,36.0,69.0,65.0,31.0,26.0,8.0,7.0,20.0,101,94330,22
2212395765,"District B, West Carroll Parish, Louisiana",33.0,2.0,4.0,6.0,10.0,5.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,123,95765,22
2212395794,"District D, West Carroll Parish, Louisiana",269.0,104.0,24.0,25.0,52.0,10.0,7.0,0.0,4.0,0.0,6.0,28.0,0.0,0.0,0.0,0.0,9.0,123,95794,22
2212395809,"District E, West Carroll Parish, Louisiana",51.0,9.0,5.0,4.0,0.0,0.0,17.0,0.0,0.0,4.0,0.0,0.0,10.0,0.0,2.0,0.0,0.0,123,95809,22
2212395750,"District A, West Carroll Parish, Louisiana",127.0,27.0,26.0,21.0,33.0,3.0,6.0,2.0,5.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,123,95750,22
2212395780,"District C, West Carroll Parish, Louisiana",57.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,12.0,0.0,7.0,0.0,0.0,0.0,0.0,28.0,0.0,123,95780,22
2210395440,"District 9, St. Tammany Parish, Louisiana",827.0,14.0,33.0,24.0,36.0,16.0,42.0,0.0,58.0,59.0,133.0,87.0,143.0,0.0,24.0,120.0,38.0,103,95440,22
2210395647,"District 12, St. Tammany Parish, Louisiana",980.0,29.0,114.0,80.0,71.0,53.0,48.0,41.0,8.0,62.0,6.0,143.0,75.0,113.0,35.0,89.0,13.0,103,95647,22
2210394129,"District 1, St. Tammany Parish, Louisiana",421.0,0.0,49.0,1.0,12.0,0.0,27.0,9.0,22.0,15.0,38.0,0.0,129.0,73.0,0.0,0.0,46.0,103,94129,22
2210394333,"District 2, St. Tammany Parish, Louisiana",124.0,13.0,0.0,41.0,15.0,0.0,0.0,0.0,13.0,0.0,23.0,5.0,14.0,0.0,0.0,0.0,0.0,103,94333,22
2210394516,"District 3, St. Tammany Parish, Louisiana",1156.0,130.0,141.0,124.0,199.0,77.0,108.0,78.0,31.0,26.0,44.0,23.0,53.0,53.0,34.0,31.0,4.0,103,94516,22
2210395056,"District 6, St. Tammany Parish, Louisiana",213.0,3.0,12.0,28.0,6.0,0.0,14.0,71.0,0.0,0.0,13.0,41.0,8.0,15.0,0.0,0.0,2.0,103,95056,22
2210395206,"District 7, St. Tammany Parish, Louisiana",982.0,70.0,0.0,129.0,162.0,77.0,19.0,105.0,55.0,45.0,30.0,102.0,134.0,0.0,36.0,0.0,18.0,103,95206,22
2210395521,"District 10, St. Tammany Parish, Louisiana",332.0,0.0,19.0,0.0,24.0,0.0,9.0,74.0,0.0,16.0,7.0,95.0,27.0,16.0,0.0,0.0,45.0,103,95521,22
2210395590,"District 11, St. Tammany Parish, Louisiana",1157.0,66.0,44.0,161.0,38.0,52.0,36.0,39.0,38.0,74.0,159.0,68.0,321.0,40.0,0.0,21.0,0.0,103,95590,22
2210395689,"District 13, St. Tammany Parish, Louisiana",932.0,24.0,96.0,0.0,108.0,0.0,143.0,65.0,20.0,25.0,149.0,102.0,40.0,48.0,10.0,49.0,53.0,103,95689,22
2210395713,"District 14, St. Tammany Parish, Louisiana",1695.0,244.0,160.0,149.0,70.0,80.0,114.0,99.0,82.0,33.0,70.0,122.0,218.0,130.0,35.0,30.0,59.0,103,95713,22
2210395335,"District 8, St. Tammany Parish, Louisiana",377.0,12.0,11.0,17.0,11.0,59.0,8.0,0.0,17.0,9.0,71.0,77.0,61.0,0.0,12.0,0.0,12.0,103,95335,22
2210394693,"District 4, St. Tammany Parish, Louisiana",95.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,20.0,0.0,33.0,0.0,0.0,0.0,0.0,26.0,103,94693,22
2210394891,"District 5, St. Tammany Parish, Louisiana",265.0,26.0,0.0,31.0,0.0,0.0,0.0,26.0,0.0,0.0,17.0,39.0,95.0,0.0,0.0,31.0,0.0,103,94891,22
2211194138,"District 1, Union Parish, Louisiana",548.0,113.0,94.0,54.0,35.0,65.0,16.0,69.0,0.0,28.0,17.0,38.0,10.0,9.0,0.0,0.0,0.0,111,94138,22
2211194342,"District 2, Union Parish, Louisiana",243.0,83.0,28.0,0.0,4.0,16.0,21.0,9.0,7.0,3.0,8.0,37.0,18.0,9.0,0.0,0.0,0.0,111,94342,22
2211195446,"District 9, Union Parish, Louisiana",471.0,137.0,65.0,52.0,41.0,34.0,34.0,23.0,10.0,28.0,2.0,4.0,33.0,8.0,0.0,0.0,0.0,111,95446,22
2211194525,"District 3, Union Parish, Louisiana",207.0,47.0,17.0,0.0,20.0,0.0,0.0,20.0,9.0,7.0,18.0,0.0,69.0,0.0,0.0,0.0,0.0,111,94525,22
2211195065,"District 6, Union Parish, Louisiana",208.0,69.0,60.0,0.0,19.0,8.0,10.0,33.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,111,95065,22
2211195341,"District 8, Union Parish, Louisiana",32.0,0.0,0.0,0.0,0.0,0.0,13.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111,95341,22
2211194900,"District 5, Union Parish, Louisiana",69.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111,94900,22
2211194702,"District 4, Union Parish, Louisiana",175.0,48.0,31.0,40.0,0.0,0.0,0.0,15.0,12.0,9.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,111,94702,22
2208195179,"District 7, Red River Parish, Louisiana",234.0,22.0,53.0,2.0,48.0,23.0,6.0,0.0,0.0,0.0,6.0,37.0,17.0,16.0,0.0,4.0,0.0,081,95179,22
2208194099,"District 1, Red River Parish, Louisiana",82.0,11.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,081,94099,22
2208194486,"District 3, Red River Parish, Louisiana",61.0,6.0,0.0,2.0,14.0,3.0,0.0,0.0,0.0,0.0,3.0,33.0,0.0,0.0,0.0,0.0,0.0,081,94486,22
2208194663,"District 4, Red River Parish, Louisiana",45.0,33.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,081,94663,22
2208194303,"District 2, Red River Parish, Louisiana",88.0,27.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,081,94303,22
2206394843,"District 5, Livingston Parish, Louisiana",223.0,27.0,0.0,0.0,13.0,10.0,89.0,20.0,0.0,0.0,0.0,0.0,41.0,0.0,23.0,0.0,0.0,063,94843,22
2206394081,"District 1, Livingston Parish, Louisiana",62.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,8.0,0.0,0.0,063,94081,22
2206394645,"District 4, Livingston Parish, Louisiana",583.0,43.0,63.0,0.0,99.0,24.0,21.0,36.0,0.0,16.0,100.0,134.0,47.0,0.0,0.0,0.0,0.0,063,94645,22
2206395161,"District 7, Livingston Parish, Louisiana",352.0,69.0,61.0,51.0,52.0,0.0,64.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,12.0,0.0,063,95161,22
2206395299,"District 8, Livingston Parish, Louisiana",336.0,135.0,16.0,14.0,33.0,72.0,14.0,0.0,0.0,0.0,2.0,10.0,19.0,0.0,0.0,21.0,0.0,063,95299,22
2206395413,"District 9, Livingston Parish, Louisiana",191.0,30.0,15.0,0.0,0.0,54.0,0.0,0.0,0.0,35.0,0.0,47.0,0.0,0.0,0.0,0.0,10.0,063,95413,22
2206395008,"District 6, Livingston Parish, Louisiana",350.0,0.0,0.0,0.0,37.0,20.0,0.0,0.0,0.0,0.0,0.0,73.0,58.0,57.0,105.0,0.0,0.0,063,95008,22
2206394468,"District 3, Livingston Parish, Louisiana",290.0,29.0,0.0,0.0,0.0,0.0,39.0,19.0,36.0,0.0,15.0,132.0,20.0,0.0,0.0,0.0,0.0,063,94468,22
2206394285,"District 2, Livingston Parish, Louisiana",225.0,0.0,55.0,0.0,0.0,0.0,13.0,41.0,17.0,32.0,6.0,23.0,0.0,24.0,0.0,14.0,0.0,063,94285,22
2206794651,"District 4, Morehouse Parish, Louisiana",425.0,71.0,40.0,32.0,48.0,28.0,48.0,9.0,25.0,34.0,13.0,57.0,20.0,0.0,0.0,0.0,0.0,067,94651,22
2206795167,"District 7, Morehouse Parish, Louisiana",1091.0,283.0,208.0,111.0,132.0,57.0,42.0,34.0,32.0,42.0,45.0,23.0,58.0,0.0,18.0,6.0,0.0,067,95167,22
2206794474,"District 3, Morehouse Parish, Louisiana",544.0,68.0,69.0,35.0,34.0,39.0,89.0,28.0,6.0,9.0,127.0,11.0,0.0,6.0,0.0,0.0,23.0,067,94474,22
2206794849,"District 5, Morehouse Parish, Louisiana",913.0,343.0,66.0,136.0,60.0,56.0,31.0,28.0,13.0,22.0,23.0,61.0,48.0,6.0,0.0,20.0,0.0,067,94849,22
2206795014,"District 6, Morehouse Parish, Louisiana",919.0,108.0,170.0,58.0,138.0,45.0,153.0,67.0,30.0,29.0,69.0,16.0,18.0,18.0,0.0,0.0,0.0,067,95014,22
2206794291,"District 2, Morehouse Parish, Louisiana",449.0,76.0,50.0,83.0,60.0,20.0,6.0,10.0,22.0,2.0,17.0,46.0,42.0,15.0,0.0,0.0,0.0,067,94291,22
2206794087,"District 1, Morehouse Parish, Louisiana",158.0,47.0,17.0,5.0,0.0,6.0,19.0,3.0,2.0,0.0,0.0,9.0,33.0,17.0,0.0,0.0,0.0,067,94087,22
2206995581,"District 11, Natchitoches Parish, Louisiana",567.0,50.0,122.0,36.0,56.0,19.0,77.0,18.0,24.0,31.0,10.0,18.0,32.0,10.0,52.0,12.0,0.0,069,95581,22
2206994852,"District 5, Natchitoches Parish, Louisiana",1196.0,423.0,127.0,129.0,152.0,120.0,43.0,44.0,0.0,0.0,106.0,0.0,38.0,0.0,7.0,7.0,0.0,069,94852,22
2206995170,"District 7, Natchitoches Parish, Louisiana",216.0,98.0,2.0,14.0,61.0,7.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,069,95170,22
2206994090,"District 1, Natchitoches Parish, Louisiana",419.0,23.0,57.0,0.0,81.0,20.0,63.0,10.0,24.0,0.0,9.0,51.0,48.0,23.0,0.0,10.0,0.0,069,94090,22
2206995419,"District 9, Natchitoches Parish, Louisiana",223.0,46.0,21.0,69.0,2.0,23.0,25.0,8.0,6.0,4.0,0.0,5.0,4.0,10.0,0.0,0.0,0.0,069,95419,22
2206994294,"District 2, Natchitoches Parish, Louisiana",1009.0,301.0,135.0,121.0,104.0,63.0,68.0,42.0,19.0,21.0,25.0,44.0,25.0,0.0,3.0,21.0,17.0,069,94294,22
2206994654,"District 4, Natchitoches Parish, Louisiana",154.0,0.0,0.0,81.0,0.0,30.0,0.0,0.0,9.0,0.0,0.0,6.0,14.0,9.0,0.0,5.0,0.0,069,94654,22
2206995512,"District 10, Natchitoches Parish, Louisiana",181.0,68.0,19.0,13.0,54.0,12.0,0.0,0.0,0.0,0.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,069,95512,22
2206995308,"District 8, Natchitoches Parish, Louisiana",613.0,141.0,139.0,68.0,28.0,35.0,20.0,60.0,3.0,19.0,42.0,38.0,9.0,0.0,0.0,6.0,5.0,069,95308,22
2206994477,"District 3, Natchitoches Parish, Louisiana",928.0,273.0,87.0,61.0,141.0,77.0,107.0,16.0,39.0,61.0,16.0,13.0,14.0,23.0,0.0,0.0,0.0,069,94477,22
2206995017,"District 6, Natchitoches Parish, Louisiana",396.0,33.0,79.0,43.0,54.0,0.0,40.0,8.0,0.0,16.0,17.0,49.0,48.0,0.0,0.0,0.0,9.0,069,95017,22
2207198000,"New Orleans city, Orleans Parish, Louisiana",86451.0,17912.0,9732.0,7838.0,6546.0,6096.0,4651.0,3472.0,3608.0,3322.0,4642.0,5560.0,5954.0,3230.0,1439.0,1416.0,1033.0,071,98000,22
2210994700,"District 4, Terrebonne Parish, Louisiana",699.0,64.0,13.0,26.0,129.0,46.0,135.0,15.0,0.0,19.0,91.0,47.0,44.0,46.0,24.0,0.0,0.0,109,94700,22
2210995213,"District 7, Terrebonne Parish, Louisiana",496.0,28.0,48.0,15.0,91.0,97.0,0.0,101.0,17.0,7.0,33.0,25.0,11.0,12.0,11.0,0.0,0.0,109,95213,22
2210995445,"District 9, Terrebonne Parish, Louisiana",167.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,52.0,13.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,109,95445,22
2210994136,"District 1, Terrebonne Parish, Louisiana",1601.0,455.0,199.0,170.0,81.0,146.0,85.0,147.0,95.0,60.0,39.0,8.0,38.0,76.0,0.0,0.0,2.0,109,94136,22
2210994340,"District 2, Terrebonne Parish, Louisiana",2216.0,342.0,324.0,441.0,122.0,128.0,191.0,119.0,63.0,83.0,30.0,60.0,193.0,59.0,0.0,9.0,52.0,109,94340,22
2210994523,"District 3, Terrebonne Parish, Louisiana",684.0,78.0,0.0,36.0,0.0,65.0,42.0,0.0,40.0,72.0,61.0,80.0,106.0,24.0,58.0,9.0,13.0,109,94523,22
2210994898,"District 5, Terrebonne Parish, Louisiana",689.0,91.0,13.0,92.0,80.0,9.0,0.0,86.0,38.0,31.0,150.0,5.0,36.0,11.0,0.0,23.0,24.0,109,94898,22
2210995063,"District 6, Terrebonne Parish, Louisiana",353.0,41.0,63.0,47.0,0.0,53.0,0.0,0.0,64.0,0.0,0.0,0.0,15.0,53.0,0.0,17.0,0.0,109,95063,22
2210995340,"District 8, Terrebonne Parish, Louisiana",558.0,184.0,27.0,0.0,125.0,30.0,16.0,0.0,4.0,51.0,39.0,0.0,0.0,55.0,27.0,0.0,0.0,109,95340,22
2202594036,"District 1, Catahoula Parish, Louisiana",58.0,21.0,16.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,025,94036,22
2202595377,"District 9, Catahoula Parish, Louisiana",79.0,33.0,0.0,0.0,0.0,12.0,0.0,0.0,7.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,025,95377,22
2202594414,"District 3, Catahoula Parish, Louisiana",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,025,94414,22
2202594963,"District 6, Catahoula Parish, Louisiana",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,025,94963,22
2202594795,"District 5, Catahoula Parish, Louisiana",11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,025,94795,22
2202594234,"District 2, Catahoula Parish, Louisiana",226.0,55.0,27.0,25.0,17.0,8.0,0.0,0.0,30.0,0.0,40.0,0.0,4.0,20.0,0.0,0.0,0.0,025,94234,22
2202594597,"District 4, Catahoula Parish, Louisiana",54.0,0.0,14.0,21.0,7.0,2.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,025,94597,22
2202595119,"District 7, Catahoula Parish, Louisiana",224.0,34.0,46.0,15.0,32.0,30.0,8.0,14.0,0.0,14.0,0.0,11.0,20.0,0.0,0.0,0.0,0.0,025,95119,22
2202595260,"District 8, Catahoula Parish, Louisiana",371.0,107.0,111.0,4.0,8.0,33.0,8.0,12.0,8.0,0.0,6.0,0.0,33.0,27.0,9.0,0.0,5.0,025,95260,22
2201994225,"District 2, Calcasieu Parish, Louisiana",2845.0,510.0,443.0,209.0,211.0,204.0,67.0,134.0,119.0,196.0,239.0,167.0,177.0,95.0,18.0,18.0,38.0,019,94225,22
2201994588,"District 4, Calcasieu Parish, Louisiana",2970.0,470.0,248.0,389.0,141.0,68.0,125.0,216.0,225.0,122.0,203.0,285.0,215.0,100.0,71.0,87.0,5.0,019,94588,22
2201995113,"District 7, Calcasieu Parish, Louisiana",1174.0,63.0,135.0,94.0,116.0,112.0,39.0,115.0,59.0,88.0,144.0,27.0,58.0,74.0,0.0,50.0,0.0,019,95113,22
2201995476,"District 10, Calcasieu Parish, Louisiana",544.0,27.0,62.0,31.0,54.0,8.0,15.0,35.0,27.0,68.0,46.0,32.0,83.0,28.0,0.0,21.0,7.0,019,95476,22
2201995620,"District 12, Calcasieu Parish, Louisiana",336.0,52.0,46.0,14.0,23.0,38.0,6.0,28.0,0.0,24.0,0.0,30.0,29.0,30.0,0.0,16.0,0.0,019,95620,22
2201995728,"District 15, Calcasieu Parish, Louisiana",261.0,56.0,0.0,0.0,9.0,39.0,40.0,0.0,0.0,62.0,20.0,8.0,16.0,4.0,0.0,7.0,0.0,019,95728,22
2201994954,"District 6, Calcasieu Parish, Louisiana",250.0,15.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,21.0,72.0,7.0,6.0,11.0,019,94954,22
2201995257,"District 8, Calcasieu Parish, Louisiana",330.0,12.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,16.0,99.0,31.0,0.0,10.0,0.0,019,95257,22
2201995671,"District 13, Calcasieu Parish, Louisiana",194.0,69.0,0.0,0.0,37.0,15.0,0.0,0.0,11.0,0.0,0.0,0.0,55.0,7.0,0.0,0.0,0.0,019,95671,22
2201995704,"District 14, Calcasieu Parish, Louisiana",639.0,10.0,9.0,71.0,145.0,49.0,7.0,48.0,10.0,45.0,73.0,48.0,59.0,65.0,0.0,0.0,0.0,019,95704,22
2201994786,"District 5, Calcasieu Parish, Louisiana",1021.0,97.0,75.0,174.0,37.0,150.0,38.0,89.0,67.0,57.0,0.0,83.0,121.0,33.0,0.0,0.0,0.0,019,94786,22
2201994405,"District 3, Calcasieu Parish, Louisiana",3388.0,643.0,336.0,264.0,538.0,252.0,145.0,223.0,191.0,78.0,227.0,186.0,81.0,139.0,47.0,12.0,26.0,019,94405,22
2201995554,"District 11, Calcasieu Parish, Louisiana",313.0,13.0,26.0,27.0,68.0,0.0,91.0,0.0,0.0,0.0,29.0,35.0,0.0,24.0,0.0,0.0,0.0,019,95554,22
2201994027,"District 1, Calcasieu Parish, Louisiana",356.0,0.0,0.0,6.0,16.0,16.0,0.0,15.0,0.0,65.0,87.0,42.0,66.0,0.0,21.0,0.0,22.0,019,94027,22
2201995374,"District 9, Calcasieu Parish, Louisiana",3717.0,597.0,226.0,258.0,401.0,309.0,192.0,101.0,273.0,135.0,256.0,321.0,245.0,140.0,136.0,60.0,67.0,019,95374,22
2202794798,"District 5, Claiborne Parish, Louisiana",253.0,12.0,13.0,45.0,13.0,68.0,0.0,23.0,0.0,12.0,0.0,3.0,16.0,2.0,40.0,0.0,6.0,027,94798,22
2202794039,"District 1, Claiborne Parish, Louisiana",289.0,130.0,53.0,41.0,8.0,8.0,0.0,20.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,027,94039,22
2202795380,"District 9, Claiborne Parish, Louisiana",86.0,61.0,9.0,5.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,027,95380,22
2202794600,"District 4, Claiborne Parish, Louisiana",394.0,117.0,43.0,82.0,9.0,49.0,0.0,9.0,5.0,5.0,55.0,6.0,4.0,4.0,6.0,0.0,0.0,027,94600,22
2204194984,"District 6, Franklin Parish, Louisiana",135.0,34.0,0.0,0.0,7.0,2.0,5.0,15.0,4.0,0.0,0.0,7.0,55.0,6.0,0.0,0.0,0.0,041,94984,22
2204195137,"District 7, Franklin Parish, Louisiana",523.0,128.0,93.0,57.0,54.0,20.0,38.0,4.0,4.0,28.0,5.0,49.0,26.0,0.0,17.0,0.0,0.0,041,95137,22
2204194258,"District 2, Franklin Parish, Louisiana",266.0,69.0,61.0,17.0,8.0,24.0,0.0,0.0,0.0,0.0,6.0,22.0,59.0,0.0,0.0,0.0,0.0,041,94258,22
2204194615,"District 4, Franklin Parish, Louisiana",185.0,0.0,36.0,27.0,0.0,22.0,20.0,52.0,0.0,0.0,16.0,5.0,0.0,0.0,0.0,7.0,0.0,041,94615,22
2204194816,"District 5, Franklin Parish, Louisiana",799.0,175.0,208.0,135.0,44.0,37.0,36.0,10.0,79.0,33.0,28.0,0.0,0.0,14.0,0.0,0.0,0.0,041,94816,22
2204194438,"District 3, Franklin Parish, Louisiana",134.0,51.0,26.0,5.0,17.0,10.0,0.0,7.0,0.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,041,94438,22
2204194054,"District 1, Franklin Parish, Louisiana",78.0,5.0,18.0,6.0,0.0,0.0,4.0,30.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,041,94054,22
2200994942,"District 6, Avoyelles Parish, Louisiana",470.0,55.0,49.0,136.0,0.0,4.0,0.0,25.0,15.0,0.0,22.0,53.0,111.0,0.0,0.0,0.0,0.0,009,94942,22
2200994771,"District 5, Avoyelles Parish, Louisiana",1043.0,215.0,67.0,343.0,64.0,23.0,54.0,24.0,77.0,14.0,97.0,10.0,28.0,24.0,0.0,3.0,0.0,009,94771,22
2200995101,"District 7, Avoyelles Parish, Louisiana",169.0,53.0,25.0,24.0,2.0,17.0,0.0,3.0,0.0,0.0,27.0,0.0,2.0,16.0,0.0,0.0,0.0,009,95101,22
2200995365,"District 9, Avoyelles Parish, Louisiana",575.0,111.0,89.0,68.0,59.0,113.0,13.0,18.0,41.0,0.0,13.0,20.0,15.0,15.0,0.0,0.0,0.0,009,95365,22
2200994210,"District 2, Avoyelles Parish, Louisiana",195.0,36.0,4.0,0.0,62.0,15.0,10.0,13.0,0.0,2.0,0.0,2.0,29.0,0.0,0.0,0.0,22.0,009,94210,22
2200994393,"District 3, Avoyelles Parish, Louisiana",261.0,110.0,0.0,0.0,11.0,47.0,0.0,0.0,52.0,0.0,30.0,0.0,11.0,0.0,0.0,0.0,0.0,009,94393,22
2200994576,"District 4, Avoyelles Parish, Louisiana",476.0,216.0,51.0,41.0,29.0,0.0,0.0,15.0,27.0,0.0,27.0,5.0,64.0,0.0,0.0,1.0,0.0,009,94576,22
2200995248,"District 8, Avoyelles Parish, Louisiana",530.0,25.0,42.0,104.0,58.0,51.0,0.0,33.0,0.0,0.0,14.0,16.0,126.0,47.0,0.0,14.0,0.0,009,95248,22
2200994012,"District 1, Avoyelles Parish, Louisiana",211.0,0.0,0.0,0.0,13.0,0.0,13.0,13.0,0.0,0.0,42.0,33.0,53.0,29.0,0.0,15.0,0.0,009,94012,22
2200794939,"District 6, Assumption Parish, Louisiana",301.0,21.0,30.0,57.0,7.0,35.0,0.0,40.0,31.0,6.0,16.0,0.0,52.0,6.0,0.0,0.0,0.0,007,94939,22
2200795245,"District 8, Assumption Parish, Louisiana",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,007,95245,22
2200794573,"District 4, Assumption Parish, Louisiana",391.0,116.0,11.0,56.0,9.0,6.0,59.0,3.0,30.0,3.0,28.0,30.0,6.0,18.0,16.0,0.0,0.0,007,94573,22
2200795362,"District 9, Assumption Parish, Louisiana",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,007,95362,22
2200795098,"District 7, Assumption Parish, Louisiana",406.0,82.0,25.0,34.0,0.0,75.0,60.0,33.0,0.0,24.0,29.0,27.0,0.0,0.0,17.0,0.0,0.0,007,95098,22
2200794207,"District 2, Assumption Parish, Louisiana",100.0,6.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,25.0,0.0,12.0,0.0,0.0,10.0,0.0,0.0,007,94207,22
2200794009,"District 1, Assumption Parish, Louisiana",585.0,151.0,59.0,56.0,24.0,43.0,0.0,61.0,12.0,16.0,46.0,18.0,83.0,16.0,0.0,0.0,0.0,007,94009,22
2200794390,"District 3, Assumption Parish, Louisiana",84.0,28.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,11.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,007,94390,22
2204995149,"District 7, Jackson Parish, Louisiana",248.0,81.0,16.0,7.0,18.0,58.0,0.0,22.0,13.0,0.0,7.0,3.0,14.0,9.0,0.0,0.0,0.0,049,95149,22
2211395650,"District 12, Vermilion Parish, Louisiana",107.0,0.0,7.0,0.0,76.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113,95650,22
2211394141,"District 1, Vermilion Parish, Louisiana",137.0,25.0,0.0,0.0,13.0,12.0,0.0,35.0,3.0,0.0,9.0,0.0,17.0,17.0,4.0,2.0,0.0,113,94141,22
2200794768,"District 5, Assumption Parish, Louisiana",421.0,91.0,24.0,110.0,40.0,46.0,0.0,13.0,0.0,17.0,9.0,17.0,44.0,7.0,3.0,0.0,0.0,007,94768,22
2204994627,"District 4, Jackson Parish, Louisiana",420.0,62.0,52.0,2.0,24.0,46.0,15.0,45.0,16.0,41.0,15.0,16.0,41.0,6.0,29.0,5.0,5.0,049,94627,22
